FOODSTORE_ID,FOODSTORE_NAME,FOOD_CATEGORY,WORKING_TIME,store_num,ADDRESS,area,img_url,Latitude,longitude,FOOD_CATEGORY_TAG,TAG_AGE,TAG_GENDER,TAG_STORE,menu_NameSearch,menu_PriceSearch
939585270,BAR CHAM,전통주,"월,수,목,금,토,일 18:00~24:00",02-6402-4750,서울 종로구 자하문로7길 34,통인동,https://mp-seoul-image-production-s3.mangoplate.com/360523/54142_1664629654994_41260,37.5791401,126.9703789,18,20~29,male,맛,"천안,제주두번째,안동두번째","19,000/18,000/19,000"
764081800,그곁,전통주,"월,수,목,금,토,일 18:00~01:00",02-417-8666,서울 송파구 오금로18길 14 1층,송파동,https://mp-seoul-image-production-s3.mangoplate.com/431254/689765_1645886288868_43701,37.5097703,127.1102655,18,30~39,female,서비스,"탕,육회,감자전","23,000/24,000/18,000"
22875062,누룩나무,전통주,월~토 16:00 ~ 00:30,02-722-3398,서울 종로구 인사동16길 16,관훈동,"https://mp-seoul-image-production-s3.mangoplate.com/957883_1624087093544869.jpg?fit=around|738:738&crop=738:738;*,*&output-format=jpg&output-quality=80",37.5754024,126.9840834,18,40~49,male,분위기,"전통주,죽력고,한산불곡소주","20,000/150,000/79,000"
2025231268,차차밀로,전통주,화~금 17:00 ~ 02:00,02-6085-7082,서울 마포구 동교로38길 33-12 2층,연남동,https://mp-seoul-image-production-s3.mangoplate.com/804901_1661485624843403.jpg,37.5616545,126.9262614,18,50~49,female,가격,"소갈비찜,수비드항정수육,전통주","29,000/19,000/8,000"
384592680,에빗,전통주,화~금 18:00 ~ 23:00,070-4231-1022,서울 강남구 도곡로23길 33 1층,역삼동,https://mp-seoul-image-production-s3.mangoplate.com/862856_1623973991543265.jpg,37.4943872,127.038683,18,50~69,male,주차,"숏디너,롱디너","150,000/180,000"
1548662565,강남명전,전통주,매일 16:30 ~ 02:30,070-4348-3371,서울 서초구 강남대로65길 12,서초동,https://mp-seoul-image-production-s3.mangoplate.com/1161853_1626446022064847.jpg,37.5005171,127.0247389,18,20~29,female,맛,"감자전,김치전,묵사발,조개탕","17,000/12,000/9,000/23,000"
1931169507,주점금붕어,전통주,화~토 18:00 ~ 24:00,010-8206-1135,서울 송파구 송파대로14길 6 2층,문정동,"https://mp-seoul-image-production-s3.mangoplate.com/2091186_1647909965190640.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.4834588,127.1246437,18,30~39,male,서비스,"원조닭구이,치즈파구이,우삼겹파채라면","16,000/12,000/6,000"
2050651457,구들,전통주,월~토 17:30 ~ 22:00,0507-1485-1592,서울 강남구 선릉로155길 26 3층,신사동,"https://mp-seoul-image-production-s3.mangoplate.com/446568/801015_1664539437201_65342?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5257798,127.0375902,18,40~49,female,분위기,"구들차림상,삼합육회,곶감치즈말이,가리비관자전,전복전","59,000/21,000/14,000/22,000/7,000"
119258632,패티앤베지스,가로수길브런치,매일 11:30 ~ 21:30,02-541-3443,서울 강남구 압구정로4길 11 1층,신사동,"https://mp-seoul-image-production-s3.mangoplate.com/598583_1614401187003639.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5220515,127.0202955,18,50~49,male,가격,"클래식버거, 베이컨치즈버거,머쉬룸치즈버거,그린살사버거,하와이안와사비버거","8,900/11,400/11,900/12,900/9,900"
402310476,세인트그릴,가로수길브런치,매일 00:00 ~ 24:00,02-546-5508,서울 강남구 논현로 175길 63,신사동,"https://mp-seoul-image-production-s3.mangoplate.com/405070/638412_1613266133776_9303?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5240095,127.0239014,18,50~69,female,주차,"치즈버거세트,비프트럭세트,슈프림올스타세트,크리스피치킨세트,미스터파렌하이트세트","12,800/18,800/14,800/13,800/14,800"
508057200,노이에아트멍,가로수길브런치,화~토 10:30 ~ 22:00,070-8834-5444,서울 강남구 도산대로23길 19,신사동,"https://mp-seoul-image-production-s3.mangoplate.com/619788_1584978488540196.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.52026,127.0259413,18,20~29,male,맛,"아메리카노,시그니처버거,현미뇨끼,소시지베이컨오믈렛,베니스샐러드","4,500/16,800/15,800/14,800/14,500"
313270264,팻보이샌드위치,가로수길브런치,수~일 11:00 ~ 23:00,02-549-5150,서울 강남구 강남대로152길 42,신사동,"https://mp-seoul-image-production-s3.mangoplate.com/1175978_1585113158560819.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5180082,127.0227692,18,30~39,female,서비스,"클래식햄치즈샌드위치,싼타페그릴치킨,이탈리안샌드위치,선데이로스트비프","9,500/9,500/12,000/11,500"
1527538187,매덕스피자,맥엔치즈,매일 12:00 ~ 22:00,02-542-2420,서울 강남구 도산대로15길 11,신사동,"https://mp-seoul-image-production-s3.mangoplate.com/586167_1587364617868110.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5190529,127.0237963,18,40~49,male,분위기,"마르게리타피자,치즈피자,페퍼로니피자,하와이안피자","48,000/34,000/40,000/49,000"
26325158,파이어벨,맥엔치즈,매일 11:30 ~ 21:00,02-6489-0041,서울 강남구 선릉로72길 16,대치동,"https://mp-seoul-image-production-s3.mangoplate.com/584169_1593802483618518.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5002471,127.0524508,18,50~49,female,가격,"레오버거,루키버거,콜911버거,하바나버거,칠리킹","9,900/7,900/9,900/9,500/10,900"
1502255180,조이버거,맥엔치즈,화~일 11:30 ~ 22:00,02-6403-5252,서울 마포구 신촌로12길 32,동교동,"https://mp-seoul-image-production-s3.mangoplate.com/479853/2284436_1668776071372_17031?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5549535,126.9325257,18,50~69,male,주차,"트러플마요세트,베이컨치즈세트,BBQ버거세트,머쉬룸세트,미소세트","12,900/10,900/11,500/11,500/11,900"
1278816666,시키카츠,돈까스,매일 11:00 ~ 21:00,0507-1324-8753,서울 동대문구 회기로 110,회기동,"https://mp-seoul-image-production-s3.mangoplate.com/2091186_1670807759202518.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80",37.5914025,127.0486806,18,10~19,female,맛,"로스카츠정식,히레카츠,특로스카츠정식,모듬카츠","12,000/13,000/14,000/15,000"
